Roll,Value,Time
1,22,15:43:03
2,5,15:43:04
3,62,15:43:05
4,53,15:43:07
5,53,15:43:08
6,2,15:43:10
7,34,15:43:11
8,42,15:43:12
9,49,15:43:13
10,47,15:43:15
11,38,15:43:16
12,38,15:43:17
13,37,15:43:18
14,16,15:43:19
15,42,15:43:20
16,4,15:43:21
17,38,15:43:22
18,37,15:43:24
19,4,15:43:25
20,50,15:43:26
21,48,15:43:27
22,64,15:43:28
23,48,15:43:29
24,1,15:43:31
25,42,15:43:32
26,29,15:43:33
27,42,15:43:35
28,10,15:43:36
29,7,15:43:37
30,61,15:43:38
31,5,15:43:40
32,63,15:43:41
33,26,15:43:42
34,33,15:43:43
35,14,15:43:44
36,59,15:43:46
37,18,15:43:47
38,15,15:43:48
39,42,15:43:50
40,54,15:43:51
41,54,15:43:53
42,41,15:43:54
43,54,15:43:55
44,62,15:43:56
45,39,15:43:58
46,35,15:43:59
47,22,15:44:00
48,44,15:44:01
49,12,15:44:03
50,10,15:44:04
51,18,15:44:05
52,63,15:44:07
53,33,15:44:08
54,43,15:44:09
55,19,15:44:10
56,60,15:44:12
57,64,15:44:13
58,24,15:44:14
59,43,15:44:15
60,6,15:44:18
61,10,15:44:19
62,14,15:44:21
63,47,15:44:22
64,1,15:44:23
65,14,15:44:24
66,43,15:44:25
67,49,15:44:27
68,6,15:44:28
69,12,15:44:29
70,21,15:44:30
71,17,15:44:31
72,11,15:44:33
73,18,15:44:34
74,14,15:44:35
75,36,15:44:36
76,11,15:44:38
77,6,15:44:39
78,33,15:44:40
79,48,15:44:41
80,43,15:44:42
81,25,15:44:44
82,16,15:44:45
83,45,15:44:46
84,51,15:44:47
85,35,15:44:49
86,42,15:44:50
87,27,15:44:51
88,36,15:44:52
89,8,15:44:53
90,35,15:44:55
91,51,15:44:56
92,18,15:44:57
93,53,15:44:58
94,51,15:45:00
95,27,15:45:01
96,25,15:45:03
97,60,15:45:04
98,2,15:45:05
99,10,15:45:06
100,1,15:45:07
101,31,15:45:10
102,16,15:45:11
103,28,15:45:12
104,17,15:45:14
105,2,15:45:16
106,36,15:45:17
107,55,15:45:18
108,20,15:45:19
109,9,15:45:21
110,46,15:45:22
111,2,15:45:23
112,59,15:45:24
113,48,15:45:26
114,64,15:45:27
115,14,15:45:28
116,41,15:45:30
117,60,15:45:31
118,1,15:45:32
119,61,15:45:33
120,20,15:45:34
121,44,15:45:35
122,20,15:45:37
123,18,15:45:38
124,39,15:45:39
125,18,15:45:40
126,2,15:45:42
127,56,15:45:43
128,34,15:45:45
129,49,15:45:46
130,38,15:45:49
131,20,15:45:50
132,50,15:45:51
133,10,15:45:53
134,61,15:45:54
135,29,15:45:55
136,57,15:45:56
137,39,15:45:57
138,43,15:45:59
139,6,15:46:00
140,60,15:46:02
141,27,15:46:03
142,21,15:46:04
143,23,15:46:06
144,9,15:46:07
145,10,15:46:08
146,3,15:46:09
147,53,15:46:11
148,51,15:46:13
149,8,15:46:14
150,9,15:46:15
151,30,15:46:17
152,16,15:46:18
153,1,15:46:19
154,49,15:46:20
155,41,15:46:22
156,28,15:46:23
157,17,15:46:24
158,15,15:46:25
159,23,15:46:26
160,39,15:46:28
161,60,15:46:29
162,9,15:46:30
163,28,15:46:31
164,57,15:46:33
165,63,15:46:34
166,60,15:46:35
167,25,15:46:37
168,29,15:46:38
169,58,15:46:39
170,64,15:46:40
171,41,15:46:42
172,42,15:46:43
173,64,15:46:45
174,26,15:46:46
175,7,15:46:47
176,23,15:46:49
177,8,15:46:50
178,46,15:46:51
179,42,15:46:52
180,5,15:46:53
181,26,15:46:55
182,3,15:46:56
183,31,15:46:57
184,34,15:46:59
185,10,15:47:00
186,56,15:47:02
187,63,15:47:03
188,1,15:47:04
189,52,15:47:05
190,24,15:47:06
191,14,15:47:07
192,48,15:47:09
193,18,15:47:10
194,57,15:47:11
195,57,15:47:12
196,61,15:47:13
197,58,15:47:15
198,50,15:47:16
199,33,15:47:17
200,51,15:47:18
201,32,15:47:20
202,13,15:47:21
203,49,15:47:22
204,36,15:47:23
205,58,15:47:25
206,11,15:47:26
207,60,15:47:27
208,8,15:47:28
209,48,15:47:30
210,41,15:47:31
211,28,15:47:32
212,57,15:47:33
213,49,15:47:34
214,16,15:47:36
215,7,15:47:37
216,15,15:47:38
217,20,15:47:39
218,19,15:47:40
219,42,15:47:42
220,61,15:47:43
221,46,15:47:45
222,4,15:47:46
223,45,15:47:47
224,47,15:47:48
225,45,15:47:50
226,31,15:47:51
227,25,15:47:52
228,51,15:47:53
229,14,15:47:55
230,25,15:47:56
231,14,15:47:58
232,12,15:47:59
233,44,15:48:00
234,53,15:48:02
235,44,15:48:03
236,47,15:48:04
237,17,15:48:06
238,60,15:48:08
239,40,15:48:09
240,51,15:48:10
241,61,15:48:11
242,2,15:48:12
243,63,15:48:13
244,50,15:48:15
245,48,15:48:16
246,22,15:48:17
247,52,15:48:18
248,59,15:48:20
249,22,15:48:21
250,22,15:48:22
251,7,15:48:23
252,20,15:48:25
253,12,15:48:26
254,30,15:48:27
255,34,15:48:29
256,13,15:48:30
257,63,15:48:31
258,20,15:48:32
259,34,15:48:33
260,36,15:48:34
261,54,15:48:36
262,28,15:48:37
263,28,15:48:38
264,16,15:48:39
265,35,15:48:41
266,12,15:48:42
267,36,15:48:43
268,25,15:48:44
269,62,15:48:46
270,62,15:48:47
271,2,15:48:48
272,40,15:48:49
273,52,15:48:51
274,36,15:48:52
275,63,15:48:53
276,14,15:48:55
277,28,15:48:56
278,48,15:48:57
279,57,15:48:58
280,57,15:48:59
281,28,15:49:01
282,54,15:49:02
283,3,15:49:03
284,29,15:49:04
285,15,15:49:06
286,48,15:49:07
287,47,15:49:08
288,19,15:49:09
289,38,15:49:11
290,3,15:49:12
291,53,15:49:13
292,18,15:49:14
293,38,15:49:16
294,6,15:49:17
295,58,15:49:18
296,6,15:49:19
297,5,15:49:21
298,20,15:49:22
299,38,15:49:23
300,41,15:49:24
301,34,15:49:26
302,50,15:49:27
303,42,15:49:29
304,48,15:49:30
305,54,15:49:31
306,34,15:49:33
307,51,15:49:34
308,21,15:49:35
309,46,15:49:36
310,46,15:49:37
311,46,15:49:38
312,41,15:49:40
313,1,15:49:41
314,17,15:49:42
315,28,15:49:43
316,53,15:49:45
317,15,15:49:46
318,17,15:49:47
319,40,15:49:48
320,40,15:49:50
321,63,15:49:51
322,50,15:49:52
323,52,15:49:53
324,54,15:49:55
325,23,15:49:56
326,13,15:49:57
327,48,15:49:58
328,16,15:49:59
329,57,15:50:01
330,11,15:50:02
331,48,15:50:03
332,5,15:50:05
333,57,15:50:06
334,9,15:50:07
335,9,15:50:09
336,40,15:50:10
337,24,15:50:11
338,2,15:50:12
339,54,15:50:14
340,24,15:50:15
341,26,15:50:16
342,50,15:50:18
343,61,15:50:19
344,14,15:50:20
345,16,15:50:21
346,59,15:50:22
347,62,15:50:23
348,30,15:50:25
349,51,15:50:26
350,5,15:50:27
351,36,15:50:28
352,37,15:50:29
353,14,15:50:30
354,50,15:50:32
355,24,15:50:33
356,36,15:50:34
357,5,15:50:35
358,22,15:50:37
359,50,15:50:38
360,19,15:50:39
361,21,15:50:40
362,50,15:50:42
363,6,15:50:43
364,54,15:50:44
365,17,15:50:46
366,22,15:50:47
367,36,15:50:48
368,21,15:50:50
369,36,15:50:51
370,54,15:50:52
371,4,15:50:53
372,53,15:50:54
373,2,15:50:56
374,12,15:50:57
375,21,15:50:58
376,18,15:50:59
377,57,15:51:01
378,52,15:51:02
379,40,15:51:03
380,15,15:51:04
381,59,15:51:05
382,18,15:51:06
383,53,15:51:08
384,26,15:51:09
385,16,15:51:11
386,13,15:51:12
387,32,15:51:13
388,5,15:51:14
389,12,15:51:16
390,47,15:51:17
391,56,15:51:18
392,61,15:51:20
393,10,15:51:21
394,56,15:51:22
395,21,15:51:23
396,45,15:51:24
397,21,15:51:26
398,61,15:51:27
399,51,15:51:28
400,41,15:51:29
401,10,15:51:31
402,38,15:51:32
403,18,15:51:34
404,7,15:51:35
405,28,15:51:36
406,4,15:51:37
407,12,15:51:38
408,29,15:51:40
409,12,15:51:41
410,42,15:51:42
411,19,15:51:43
412,3,15:51:45
413,45,15:51:46
414,32,15:51:47
415,42,15:51:48
416,50,15:51:49
417,3,15:51:51
418,2,15:51:52
419,19,15:51:53
420,9,15:51:54
421,47,15:51:55
422,62,15:51:57
423,60,15:51:58
424,34,15:52:00
425,36,15:52:01
426,56,15:52:02
427,48,15:52:03
428,61,15:52:04
429,5,15:52:06
430,60,15:52:07
431,32,15:52:08
432,24,15:52:10
433,52,15:52:11
434,2,15:52:12
435,38,15:52:13
436,49,15:52:14
437,3,15:52:16
438,47,15:52:17
439,37,15:52:18
440,27,15:52:19
441,11,15:52:21
442,7,15:52:22
443,25,15:52:23
444,52,15:52:25
445,63,15:52:26
446,18,15:52:27
447,46,15:52:29
448,62,15:52:30
449,9,15:52:32
450,29,15:52:34
451,62,15:52:35
452,40,15:52:36
453,5,15:52:37
454,18,15:52:39
455,28,15:52:41
456,56,15:52:42
457,3,15:52:45
458,12,15:52:46
459,52,15:52:48
460,9,15:52:50
461,12,15:52:52
462,7,15:52:53
463,2,15:52:54
464,26,15:52:56
465,31,15:52:57
466,15,15:52:59
467,58,15:53:00
468,1,15:53:01
469,42,15:53:03
470,12,15:53:04
471,60,15:53:06
472,32,15:53:07
473,7,15:53:08
474,12,15:53:10
475,32,15:53:12
476,37,15:53:13
477,7,15:53:14
478,9,15:53:15
479,15,15:53:17
480,52,15:53:18
481,1,15:53:20
482,34,15:53:21
483,3,15:53:22
484,5,15:53:24
485,54,15:53:25
486,54,15:53:27
487,46,15:53:28
488,62,15:53:30
489,61,15:53:31
490,36,15:53:33
491,2,15:53:34
492,15,15:53:36
493,52,15:53:38
494,64,15:53:40
495,23,15:53:42
496,53,15:53:43
497,3,15:53:45
498,58,15:53:46
499,26,15:53:49
500,14,15:53:50
501,17,15:53:52
502,6,15:53:54
503,40,15:53:56
504,2,15:53:58
505,60,15:53:59
506,51,15:54:01
507,9,15:54:02
508,47,15:54:04
509,31,15:54:05
510,13,15:54:07
511,54,15:54:09
512,54,15:54:11
513,25,15:54:12
514,5,15:54:14
515,6,15:54:15
516,7,15:54:17
517,43,15:54:19
518,1,15:54:20
519,49,15:54:22
520,25,15:54:23
521,2,15:54:25
522,53,15:54:27
523,20,15:54:28
524,13,15:54:29
525,16,15:54:31
526,21,15:54:33
527,15,15:54:35
528,22,15:54:37
529,20,15:54:38
530,8,15:54:40
531,61,15:54:41
532,48,15:54:43
533,64,15:54:44
534,44,15:54:46
535,1,15:54:48
536,12,15:54:49
537,9,15:54:51
538,2,15:54:52
539,50,15:54:53
540,15,15:54:55
541,22,15:54:56
542,62,15:54:57
543,22,15:54:59
544,61,15:55:01
545,2,15:55:03
546,37,15:55:04
547,9,15:55:06
548,64,15:55:07
549,42,15:55:09
550,18,15:55:10
551,54,15:55:12
552,46,15:55:13
553,63,15:55:15
554,24,15:55:17
555,33,15:55:18
556,36,15:55:20
557,11,15:55:21
558,3,15:55:23
559,56,15:55:25
560,32,15:55:26
561,29,15:55:28
562,12,15:55:29
563,49,15:55:31
564,32,15:55:32
565,43,15:55:34
566,57,15:55:35
567,26,15:55:37
568,49,15:55:38
569,1,15:55:39
570,24,15:55:41
571,33,15:55:42
572,12,15:55:44
573,52,15:55:46
574,15,15:55:47
575,39,15:55:48
576,49,15:55:50
577,28,15:55:51
578,43,15:55:53
579,47,15:55:54
580,8,15:55:56
581,28,15:55:58
582,58,15:55:59
583,50,15:56:01
584,1,15:56:02
585,27,15:56:04
586,26,15:56:06
587,15,15:56:07
588,41,15:56:09
589,4,15:56:11
590,18,15:56:12
591,29,15:56:14
592,40,15:56:16
593,25,15:56:17
594,14,15:56:19
595,11,15:56:20
596,25,15:56:22
597,38,15:56:24
598,26,15:56:26
599,62,15:56:28
600,45,15:56:29
601,44,15:56:33
602,10,15:56:35
603,28,15:56:37
604,15,15:56:39
605,7,15:56:41
606,45,15:56:43
607,38,15:56:46
608,22,15:56:48
609,1,15:56:50
610,11,15:56:51
611,17,15:56:54
612,23,15:56:55
613,19,15:56:57
614,5,15:56:58
615,60,15:57:00
616,13,15:57:02
617,28,15:57:04
618,33,15:57:06
619,58,15:57:08
620,6,15:57:10
621,40,15:57:11
622,16,15:57:13
623,44,15:57:15
624,47,15:57:16
625,59,15:57:17
626,37,15:57:19
627,23,15:57:21
628,44,15:57:23
629,4,15:57:24
630,2,15:57:26
631,24,15:57:28
632,13,15:57:30
633,38,15:57:32
634,11,15:57:34
635,24,15:57:35
636,6,15:57:37
637,53,15:57:39
638,29,15:57:40
639,41,15:57:42
640,8,15:57:44
641,26,15:57:45
642,14,15:57:47
643,53,15:57:48
644,63,15:57:50
645,40,15:57:52
646,55,15:57:54
647,33,15:57:55
648,5,15:57:57
649,6,15:57:59
650,38,15:58:00
651,1,15:58:02
652,43,15:58:03
653,12,15:58:05
654,25,15:58:07
655,64,15:58:08
656,57,15:58:10
657,27,15:58:11
658,41,15:58:13
659,64,15:58:14
660,11,15:58:17
661,48,15:58:18
662,52,15:58:20
663,19,15:58:22
664,9,15:58:23
665,49,15:58:25
666,9,15:58:27
667,53,15:58:28
668,59,15:58:30
669,46,15:58:31
670,23,15:58:33
671,57,15:58:35
672,8,15:58:37
673,9,15:58:39
674,7,15:58:40
675,1,15:58:42
676,42,15:58:43
677,25,16:07:17
678,39,16:07:19
679,63,16:07:20
680,2,16:07:21
681,49,16:07:22
682,57,16:07:24
683,26,16:07:25
684,32,16:07:26
685,27,16:07:27
686,42,16:07:29
687,8,16:07:30
688,61,16:07:31
689,59,16:07:33
690,57,16:07:34
691,30,16:07:36
692,57,16:07:38
693,2,16:07:39
694,2,16:07:40
695,37,16:07:41
696,38,16:07:43
697,3,16:07:44
698,31,16:07:45
699,33,16:07:46
700,34,16:07:48
701,3,16:07:50
702,16,16:07:51
703,62,16:07:52
704,7,16:07:53
705,36,16:07:55
706,33,16:07:56
707,27,16:07:57
708,11,16:07:58
709,2,16:08:00
710,29,16:08:01
711,37,16:08:03
712,58,16:08:04
713,2,16:08:05
714,3,16:08:06
715,29,16:08:08
716,57,16:08:09
717,29,16:08:10
718,43,16:08:11
719,33,16:08:12
720,35,16:08:14
721,38,16:08:15
722,23,16:08:16
723,56,16:08:17
724,61,16:08:18
725,15,16:08:19
726,11,16:08:21
727,26,16:08:22
728,64,16:08:24
729,50,16:08:25
730,51,16:08:26
731,50,16:08:27
732,10,16:08:28
733,29,16:08:31
734,30,16:08:32
735,38,16:08:33
736,45,16:08:34
737,50,16:08:36
738,5,16:08:37
739,57,16:08:38
740,40,16:08:39
741,19,16:08:41
742,29,16:08:42
743,33,16:08:43
744,41,16:08:44
745,13,16:08:46
746,52,16:08:47
747,29,16:08:48
748,18,16:08:49
749,29,16:08:50
750,56,16:08:52
751,40,16:08:53
752,37,16:08:54
753,21,16:08:55
754,3,16:08:56
755,6,16:08:58
756,16,16:08:59
757,41,16:09:00
758,56,16:09:01
759,19,16:09:03
760,56,16:09:04
761,36,16:09:05
762,43,16:09:06
763,20,16:09:07
764,10,16:09:09
765,41,16:09:10
766,33,16:09:11
767,23,16:09:13
768,19,16:09:14
769,42,16:09:15
770,9,16:09:17
771,34,16:09:18
772,11,16:09:19
773,8,16:09:21
774,21,16:09:22
775,13,16:09:23
776,25,16:09:25
777,13,16:09:26
778,24,16:09:28
779,17,16:09:29
780,45,16:09:30
781,8,16:09:31
782,45,16:09:32
783,36,16:09:34
784,11,16:09:35
785,7,16:09:36
786,34,16:09:38
787,33,16:09:39
788,54,16:09:40
789,54,16:09:41
790,41,16:09:42
791,62,16:09:44
792,15,16:09:46
793,29,16:09:48
794,9,16:09:50
795,62,16:09:51
796,51,16:09:52
797,5,16:09:53
798,32,16:09:55
799,40,16:09:56
800,38,16:09:57
801,52,16:09:59
802,44,16:10:00
803,13,16:10:01
804,5,16:10:02
805,18,16:10:04
806,28,16:10:05
807,12,16:10:06
808,24,16:10:07
809,63,16:10:08
810,35,16:10:10
811,35,16:10:11
812,26,16:10:12
813,3,16:10:13
814,31,16:10:15
815,50,16:10:16
816,50,16:10:17
817,4,16:10:18
818,41,16:10:20
819,61,16:10:21
820,25,16:10:22
821,2,16:10:23
822,37,16:10:25
823,6,16:10:26
824,48,16:10:27
825,13,16:10:28
826,45,16:10:29
827,44,16:10:31
828,30,16:10:32
829,54,16:10:33
830,20,16:10:34
831,63,16:10:36
832,62,16:10:37
833,45,16:10:38
834,44,16:10:39
835,39,16:10:41
836,53,16:10:42
837,26,16:10:43
838,38,16:10:44
839,62,16:10:45
840,40,16:10:46
841,3,16:10:48
842,27,16:10:49
843,51,16:10:50
844,1,16:10:51
845,58,16:10:53
846,22,16:10:54
847,47,16:10:55
848,26,16:10:57
849,7,16:10:58
850,13,16:10:59
851,46,16:11:00
852,24,16:11:02
853,6,16:11:03
854,49,16:11:04
855,47,16:11:06
856,1,16:11:07
857,44,16:11:08
858,44,16:11:09
859,31,16:11:10
860,24,16:11:11
861,9,16:11:13
862,15,16:11:14
863,63,16:11:15
864,32,16:11:16
865,36,16:11:17
866,1,16:11:19
867,32,16:11:20
868,15,16:11:21
869,50,16:11:22
870,24,16:11:23
871,4,16:11:25
872,51,16:11:26
873,19,16:11:27
874,8,16:11:29
875,55,16:11:30
876,42,16:11:31
877,53,16:11:32
878,10,16:11:33
879,59,16:11:36
880,22,16:11:38
881,62,16:11:39
882,6,16:11:41
883,9,16:11:44
884,27,16:11:46
885,32,16:11:48
886,21,16:11:49
887,15,16:11:51
888,64,16:11:53
889,21,16:11:55
890,60,16:11:56
891,36,16:11:58
892,25,16:11:59
893,25,16:12:01
894,64,16:12:03
895,31,16:12:04
896,59,16:12:06
897,25,16:12:08
898,8,16:12:11
899,44,16:12:12
900,54,16:12:14
901,13,16:12:17
902,41,16:12:19
903,12,16:12:20
904,8,16:12:22
905,62,16:12:24
906,22,16:12:25
907,1,16:12:27
908,42,16:12:29
909,10,16:12:30
910,48,16:12:32
911,58,16:12:34
912,50,16:12:36
913,15,16:12:37
914,14,16:12:39
915,9,16:12:40
916,33,16:12:43
917,14,16:12:45
918,12,16:12:47
919,23,16:12:49
920,49,16:12:50
921,16,16:12:52
922,35,16:12:54
923,4,16:12:55
924,53,16:12:57
925,32,16:12:58
926,57,16:13:00
927,26,16:13:02
928,7,16:13:04
929,39,16:13:06
930,35,16:13:07
931,48,16:13:09
932,14,16:13:11
933,55,16:13:12
934,38,16:13:14
935,51,16:13:16
936,2,16:13:18
937,27,16:13:19
938,19,16:13:21
939,6,16:13:22
940,60,16:13:24
941,19,16:13:26
942,29,16:13:28
943,14,16:13:29
944,32,16:13:31
945,47,16:13:32
946,41,16:13:35
947,22,16:13:37
948,35,16:13:38
949,10,16:13:40
950,8,16:13:42
951,53,16:13:44
952,25,16:13:47
953,42,16:13:49
954,26,16:13:51
955,42,16:13:52
956,17,16:13:54
957,27,16:13:56
958,43,16:13:58
959,15,16:13:59
960,16,16:14:01
961,60,16:14:03
962,64,16:14:04
963,18,16:14:06
964,11,16:14:07
965,33,16:14:08
966,54,16:14:10
967,33,16:14:12
968,1,16:14:13
969,35,16:14:15
970,4,16:14:17
971,15,16:14:19
972,21,16:14:20
973,37,16:14:22
974,43,16:14:25
975,10,16:14:26
976,40,16:14:28
977,27,16:14:30
978,13,16:14:32
979,55,16:14:33
980,19,16:14:35
981,11,16:14:37
982,24,16:14:39
983,14,16:14:40
984,37,16:14:42
985,24,16:14:43
986,37,16:14:45
987,64,16:14:47
988,22,16:14:49
989,30,16:14:51
990,17,16:14:53
991,48,16:14:55
992,39,16:14:57
993,23,16:14:58
994,46,16:15:01
995,43,16:15:02
996,50,16:15:04
997,62,16:15:06
998,48,16:15:08
999,52,16:15:09
1000,30,16:15:11
